ticket_id,customer_tier,raw_text,actual_category,detected_category,sentiment_score,priority
REQ-5050,SMB,Three of our team members have stopped using the platform entirely. We need this resolved today.,Churn Risk,Churn Risk,2,High
REQ-5051,SMB,Just wanted to say the support team is doing a phenomenal job. This is urgent.,Praise,Praise,5,Normal
REQ-5052,Enterprise,What is the maximum file size for document uploads? This is urgent.,Product Question,Product Question,3,Normal
REQ-5053,SMB,New team member has not received the invitation email after 24 hours. ASAP please.,Access Issue,Access Issue,2,Medium
REQ-5054,SMB,Can I schedule automated reports to be sent to my team every Monday?,Product Question,Product Question,3,Normal
REQ-5055,SMB,I cannot log in after your maintenance window ended. Account appears locked.,Access Issue,Access Issue,2,Medium
REQ-5056,Mid-Market,Data is not syncing between the mobile app and the web dashboard.,Technical Bug,PR Risk,1,CRITICAL
REQ-5057,SMB,SSO login is broken for our entire organization since the last update. This is blocking our team.,Technical Bug,Technical Bug,2,High
REQ-5058,Enterprise,Is there a discount available for non-profit organizations?,Sales,Sales,3,High
REQ-5059,SMB,Is it possible to set up custom roles and permissions for our team? This is urgent.,Product Question,Product Question,3,Normal
REQ-5060,SMB,Your service caused us to miss a client deadline. We are seeking damages. This is our third time contacting support about this.,PR Risk,PR Risk,1,CRITICAL
REQ-5061,Mid-Market,Two-factor authentication is failing for three members of my team. We need this resolved today.,Access Issue,Technical Bug,3,Medium
REQ-5062,Mid-Market,Refunding this now or I am taking this to social media. Charged twice! This is urgent.,PR Risk,PR Risk,1,CRITICAL
REQ-5063,SMB,This is the third billing error this quarter. I am escalating to my board. We need this resolved today.,PR Risk,PR Risk,1,CRITICAL
REQ-5064,SMB,I am posting a public review about this experience unless resolved today. This is our third time contacting support about this.,PR Risk,PR Risk,1,CRITICAL
REQ-5065,Mid-Market,The search function returns incorrect results for any query with special characters. This is blocking our team.,Technical Bug,Technical Bug,3,Medium
REQ-5066,SMB,Data is not syncing between the mobile app and the web dashboard.,Technical Bug,PR Risk,1,CRITICAL
REQ-5067,Mid-Market,Just wanted to say the support team is doing a phenomenal job.,Praise,Praise,5,Normal
REQ-5068,SMB,Can I schedule automated reports to be sent to my team every Monday? Our entire team is affected.,Product Question,Product Question,3,Normal
REQ-5069,SMB,We have documented every outage and are preparing a case against your SLA. Our entire team is affected.,PR Risk,General,3,Normal
REQ-5070,Enterprise,We have a budget approval for an annual contract. What are the next steps?,Sales,Sales,3,High
REQ-5071,SMB,This is the third billing error this quarter. I am escalating to my board. This is urgent.,PR Risk,PR Risk,1,CRITICAL
REQ-5072,SMB,Executive sponsor has left the company and the new one is re-evaluating all tools. This is urgent.,Churn Risk,Churn Risk,2,High
REQ-5073,SMB,SSO login is broken for our entire organization since the last update.,Technical Bug,Technical Bug,2,High
REQ-5074,SMB,How do I export my data to a CSV? I cannot find the button. ASAP please.,Product Question,Product Question,3,Normal
REQ-5075,SMB,The search function returns incorrect results for any query with special characters. This is urgent.,Technical Bug,Technical Bug,3,Medium
REQ-5076,SMB,Two-factor authentication is failing for three members of my team. This is urgent.,Access Issue,Technical Bug,3,Medium
REQ-5077,Enterprise,New team member has not received the invitation email after 24 hours.,Access Issue,Access Issue,2,Medium
REQ-5078,SMB,The search function returns incorrect results for any query with special characters. ASAP please.,Technical Bug,Technical Bug,3,Medium
REQ-5079,Enterprise,Can I schedule automated reports to be sent to my team every Monday? We need this resolved today.,Product Question,Product Question,3,Normal
REQ-5080,SMB,This is the third billing error this quarter. I am escalating to my board. ASAP please.,PR Risk,PR Risk,1,CRITICAL
REQ-5081,Enterprise,We want to add 50 more seats to our current plan. Who should I talk to? This is blocking our team.,Sales,Sales,3,High
REQ-5082,SMB,Does the platform support SAML-based SSO with Okta? This is blocking our team.,Product Question,Technical Bug,3,Medium
REQ-5083,SMB,Two-factor authentication is failing for three members of my team.,Access Issue,Technical Bug,3,Medium
REQ-5084,Enterprise,Our contract is up in 60 days and we are not sure we will renew. We need this resolved today.,Churn Risk,PR Risk,1,CRITICAL
REQ-5085,SMB,The new dashboard update is exactly what we asked for. Thank you.,Praise,Praise,5,Normal
REQ-5086,SMB,We expected the roadmap feature by Q2. It is now Q4 and nothing has shipped.,Churn Risk,Churn Risk,2,High
REQ-5087,Enterprise,Can I schedule automated reports to be sent to my team every Monday?,Product Question,Product Question,3,Normal
REQ-5088,SMB,I cannot log in after your maintenance window ended. Account appears locked. ASAP please.,Access Issue,Access Issue,2,Medium
REQ-5089,Enterprise,The password reset link expired before I could use it. Please resend. This is urgent.,Access Issue,Access Issue,2,Medium
REQ-5090,SMB,Your service caused us to miss a client deadline. We are seeking damages.,PR Risk,PR Risk,1,CRITICAL
REQ-5091,SMB,The search function returns incorrect results for any query with special characters. Our entire team is affected.,Technical Bug,Technical Bug,3,Medium
REQ-5092,Mid-Market,Just wanted to say the support team is doing a phenomenal job. We need this resolved today.,Praise,Praise,5,Normal
REQ-5093,SMB,I am posting a public review about this experience unless resolved today.,PR Risk,PR Risk,1,CRITICAL
REQ-5094,Mid-Market,The new dashboard update is exactly what we asked for. Thank you.,Praise,Praise,5,Normal
REQ-5095,Mid-Market,Looking at competitors because your uptime has been terrible lately. We need this resolved today.,Churn Risk,Churn Risk,2,High
REQ-5096,SMB,We expected the roadmap feature by Q2. It is now Q4 and nothing has shipped. We need this resolved today.,Churn Risk,Churn Risk,2,High
REQ-5097,Mid-Market,I think I found a security vulnerability in your login portal. This is blocking our team.,Technical Bug,Technical Bug,3,Medium
REQ-5098,Mid-Market,Your service caused us to miss a client deadline. We are seeking damages.,PR Risk,PR Risk,1,CRITICAL
REQ-5099,SMB,Just wanted to say the support team is doing a phenomenal job. This is urgent.,Praise,Praise,5,Normal
REQ-5100,SMB,Data is not syncing between the mobile app and the web dashboard.,Technical Bug,PR Risk,1,CRITICAL
REQ-5101,Enterprise,We are ready to move from the Free plan to Enterprise. Please send a quote. This is urgent.,Sales,Sales,3,High
REQ-5102,SMB,Is there a discount available for non-profit organizations? This is blocking our team.,Sales,Sales,3,High
REQ-5103,Mid-Market,New team member has not received the invitation email after 24 hours. This is blocking our team.,Access Issue,Access Issue,2,Medium
REQ-5104,Mid-Market,I cannot log in after your maintenance window ended. Account appears locked.,Access Issue,Access Issue,2,Medium
REQ-5105,Enterprise,Two-factor authentication is failing for three members of my team. This is blocking our team.,Access Issue,Technical Bug,3,Medium
REQ-5106,SMB,We have documented every outage and are preparing a case against your SLA. ASAP please.,PR Risk,General,3,Normal
REQ-5107,SMB,We have documented every outage and are preparing a case against your SLA.,PR Risk,General,3,Normal
REQ-5108,SMB,Our contract is up in 60 days and we are not sure we will renew.,Churn Risk,PR Risk,1,CRITICAL
REQ-5109,Mid-Market,Executive sponsor has left the company and the new one is re-evaluating all tools. We need this resolved today.,Churn Risk,Churn Risk,2,High
REQ-5110,Mid-Market,Looking at competitors because your uptime has been terrible lately.,Churn Risk,Churn Risk,2,High
REQ-5111,Mid-Market,This is the third billing error this quarter. I am escalating to my board. This is urgent.,PR Risk,PR Risk,1,CRITICAL
REQ-5112,SMB,We are evaluating other vendors. Your pricing has become hard to justify.,Churn Risk,Churn Risk,2,High
REQ-5113,SMB,I think I found a security vulnerability in your login portal. This is blocking our team.,Technical Bug,Technical Bug,3,Medium
REQ-5114,Mid-Market,Is it possible to set up custom roles and permissions for our team?,Product Question,Product Question,3,Normal
REQ-5115,SMB,Two-factor authentication is failing for three members of my team.,Access Issue,Technical Bug,3,Medium
REQ-5116,SMB,The app crashed again while I was mid-presentation. Infuriating.,Technical Bug,Technical Bug,2,High
REQ-5117,Mid-Market,Is there a discount available for non-profit organizations?,Sales,Sales,3,High
REQ-5118,SMB,How do I export my data to a CSV? I cannot find the button. ASAP please.,Product Question,Product Question,3,Normal
REQ-5119,Enterprise,Is there a discount available for non-profit organizations?,Sales,Sales,3,High
REQ-5120,Mid-Market,Data is not syncing between the mobile app and the web dashboard. We need this resolved today.,Technical Bug,PR Risk,1,CRITICAL
REQ-5121,Enterprise,We are ready to move from the Free plan to Enterprise. Please send a quote.,Sales,Sales,3,High
REQ-5122,Mid-Market,We have a budget approval for an annual contract. What are the next steps?,Sales,Sales,3,High
REQ-5123,Enterprise,The search function returns incorrect results for any query with special characters. ASAP please.,Technical Bug,Technical Bug,3,Medium
REQ-5124,SMB,"The export function silently fails -- no error message, no file. Our entire team is affected.",Technical Bug,Technical Bug,3,Medium
REQ-5125,Mid-Market,Executive sponsor has left the company and the new one is re-evaluating all tools. Our entire team is affected.,Churn Risk,Churn Risk,2,High
REQ-5126,SMB,The search function returns incorrect results for any query with special characters. This is blocking our team.,Technical Bug,Technical Bug,3,Medium
REQ-5127,Enterprise,We have documented every outage and are preparing a case against your SLA. Our entire team is affected.,PR Risk,General,3,Normal
REQ-5128,SMB,Can I schedule automated reports to be sent to my team every Monday? We need this resolved today.,Product Question,Product Question,3,Normal
REQ-5129,SMB,Does the platform support SAML-based SSO with Okta? This is our third time contacting support about this.,Product Question,Technical Bug,2,High
REQ-5130,SMB,Webhook events stopped firing three hours ago. Our automation is down. We need this resolved today.,Technical Bug,Technical Bug,2,High
REQ-5131,SMB,SSO login is broken for our entire organization since the last update. Our entire team is affected.,Technical Bug,Technical Bug,2,High
REQ-5132,SMB,Your service caused us to miss a client deadline. We are seeking damages. This is blocking our team.,PR Risk,PR Risk,1,CRITICAL
REQ-5133,Mid-Market,The password reset link expired before I could use it. Please resend. Our entire team is affected.,Access Issue,Access Issue,2,Medium
REQ-5134,Enterprise,New team member has not received the invitation email after 24 hours. This is our third time contacting support about this.,Access Issue,Access Issue,2,Medium
REQ-5135,SMB,My CEO is cc'd on this email. We need an executive response today. This is blocking our team.,PR Risk,PR Risk,1,CRITICAL
REQ-5136,SMB,Looking at competitors because your uptime has been terrible lately.,Churn Risk,Churn Risk,2,High
REQ-5137,Mid-Market,How do I export my data to a CSV? I cannot find the button. This is our third time contacting support about this.,Product Question,Product Question,3,Normal
REQ-5138,Mid-Market,We expected the roadmap feature by Q2. It is now Q4 and nothing has shipped. Our entire team is affected.,Churn Risk,Churn Risk,2,High
REQ-5139,SMB,The password reset link expired before I could use it. Please resend. This is urgent.,Access Issue,Access Issue,2,Medium
REQ-5140,SMB,Just wanted to say the support team is doing a phenomenal job. We need this resolved today.,Praise,Praise,5,Normal
REQ-5141,Mid-Market,How do I export my data to a CSV? I cannot find the button.,Product Question,Product Question,3,Normal
REQ-5142,SMB,New team member has not received the invitation email after 24 hours. We need this resolved today.,Access Issue,Access Issue,2,Medium
REQ-5143,Mid-Market,Your service caused us to miss a client deadline. We are seeking damages. This is our third time contacting support about this.,PR Risk,PR Risk,1,CRITICAL
REQ-5144,Mid-Market,My CEO is cc'd on this email. We need an executive response today. This is blocking our team.,PR Risk,PR Risk,1,CRITICAL
REQ-5145,SMB,We have a budget approval for an annual contract. What are the next steps? This is our third time contacting support about this.,Sales,Sales,3,High
REQ-5146,SMB,Our contract is up in 60 days and we are not sure we will renew.,Churn Risk,PR Risk,1,CRITICAL
REQ-5147,Mid-Market,We have a budget approval for an annual contract. What are the next steps? Our entire team is affected.,Sales,Sales,3,High
REQ-5148,Mid-Market,"The export function silently fails -- no error message, no file.",Technical Bug,Technical Bug,3,Medium
REQ-5149,Enterprise,Can you walk us through the Enterprise security and compliance features?,Sales,Sales,3,High
REQ-5150,SMB,Three of our team members have stopped using the platform entirely. This is blocking our team.,Churn Risk,Churn Risk,2,High
REQ-5151,Mid-Market,The new dashboard update is exactly what we asked for. Thank you.,Praise,Praise,5,Normal
REQ-5152,SMB,Does the platform support SAML-based SSO with Okta?,Product Question,Technical Bug,3,Medium
REQ-5153,Mid-Market,Data is not syncing between the mobile app and the web dashboard.,Technical Bug,PR Risk,1,CRITICAL
REQ-5154,SMB,API returning 500 errors on every POST request since this morning. This is urgent.,Technical Bug,Technical Bug,3,Medium
REQ-5155,SMB,Fastest support response I have ever received from any SaaS vendor. This is our third time contacting support about this.,Praise,Praise,5,Normal
REQ-5156,SMB,The search function returns incorrect results for any query with special characters. This is blocking our team.,Technical Bug,Technical Bug,3,Medium
REQ-5157,SMB,SSO login is broken for our entire organization since the last update. ASAP please.,Technical Bug,Technical Bug,2,High
REQ-5158,Mid-Market,The search function returns incorrect results for any query with special characters.,Technical Bug,Technical Bug,3,Medium
REQ-5159,SMB,Your service caused us to miss a client deadline. We are seeking damages.,PR Risk,PR Risk,1,CRITICAL
REQ-5160,Mid-Market,Just wanted to say the support team is doing a phenomenal job. We need this resolved today.,Praise,Praise,5,Normal
REQ-5161,SMB,We want to add 50 more seats to our current plan. Who should I talk to?,Sales,Sales,3,High
REQ-5162,Enterprise,The app crashed again while I was mid-presentation. Infuriating.,Technical Bug,Technical Bug,2,High
REQ-5163,SMB,We have documented every outage and are preparing a case against your SLA. Our entire team is affected.,PR Risk,General,3,Normal
REQ-5164,SMB,I cannot log in after your maintenance window ended. Account appears locked.,Access Issue,Access Issue,2,Medium
REQ-5165,Mid-Market,The search function returns incorrect results for any query with special characters. This is urgent.,Technical Bug,Technical Bug,3,Medium
REQ-5166,Enterprise,Does the platform support SAML-based SSO with Okta?,Product Question,Technical Bug,3,Medium
REQ-5167,Enterprise,Your onboarding specialist went above and beyond for our team. This is our third time contacting support about this.,Praise,Praise,5,Normal
REQ-5168,Mid-Market,Is it possible to set up custom roles and permissions for our team?,Product Question,Product Question,3,Normal
REQ-5169,Enterprise,The password reset link expired before I could use it. Please resend. Our entire team is affected.,Access Issue,Access Issue,2,Medium
REQ-5170,Enterprise,Two-factor authentication is failing for three members of my team.,Access Issue,Technical Bug,3,Medium
REQ-5171,SMB,Can I schedule automated reports to be sent to my team every Monday?,Product Question,Product Question,3,Normal
REQ-5172,Mid-Market,The search function returns incorrect results for any query with special characters. This is blocking our team.,Technical Bug,Technical Bug,3,Medium
REQ-5173,Mid-Market,I cannot log in after your maintenance window ended. Account appears locked.,Access Issue,Access Issue,2,Medium
REQ-5174,SMB,We are evaluating other vendors. Your pricing has become hard to justify.,Churn Risk,Churn Risk,2,High
REQ-5175,SMB,Our contract is up in 60 days and we are not sure we will renew. We need this resolved today.,Churn Risk,PR Risk,1,CRITICAL
REQ-5176,SMB,We expected the roadmap feature by Q2. It is now Q4 and nothing has shipped.,Churn Risk,Churn Risk,2,High
REQ-5177,SMB,The app crashed again while I was mid-presentation. Infuriating. We need this resolved today.,Technical Bug,Technical Bug,2,High
REQ-5178,SMB,The app crashed again while I was mid-presentation. Infuriating. We need this resolved today.,Technical Bug,Technical Bug,2,High
REQ-5179,Mid-Market,We have a budget approval for an annual contract. What are the next steps? This is our third time contacting support about this.,Sales,Sales,3,High
REQ-5180,SMB,We have a budget approval for an annual contract. What are the next steps?,Sales,Sales,3,High
REQ-5181,Enterprise,We have a budget approval for an annual contract. What are the next steps? Our entire team is affected.,Sales,Sales,3,High
REQ-5182,Enterprise,The new dashboard update is exactly what we asked for. Thank you.,Praise,Praise,5,Normal
REQ-5183,Mid-Market,Just wanted to say the support team is doing a phenomenal job. Our entire team is affected.,Praise,Praise,5,Normal
REQ-5184,Mid-Market,We are ready to move from the Free plan to Enterprise. Please send a quote. This is blocking our team.,Sales,Sales,3,High
REQ-5185,Mid-Market,We have a budget approval for an annual contract. What are the next steps?,Sales,Sales,3,High
REQ-5186,Enterprise,New team member has not received the invitation email after 24 hours.,Access Issue,Access Issue,2,Medium
REQ-5187,SMB,What is the maximum file size for document uploads? We need this resolved today.,Product Question,Product Question,3,Normal
REQ-5188,SMB,What is the maximum file size for document uploads?,Product Question,Product Question,3,Normal
REQ-5189,Enterprise,Can you walk us through the Enterprise security and compliance features? ASAP please.,Sales,Sales,3,High
REQ-5190,Mid-Market,I think I found a security vulnerability in your login portal.,Technical Bug,Technical Bug,3,Medium
REQ-5191,Mid-Market,Can you walk us through the Enterprise security and compliance features?,Sales,Sales,3,High
REQ-5192,Mid-Market,Our legal team is reviewing our contract due to this ongoing service outage. This is urgent.,PR Risk,PR Risk,1,CRITICAL
REQ-5193,SMB,I think I found a security vulnerability in your login portal.,Technical Bug,Technical Bug,3,Medium
REQ-5194,SMB,Looking at competitors because your uptime has been terrible lately. Our entire team is affected.,Churn Risk,Churn Risk,2,High
REQ-5195,SMB,Does the platform support SAML-based SSO with Okta? This is our third time contacting support about this.,Product Question,Technical Bug,2,High
REQ-5196,Mid-Market,We want to add 50 more seats to our current plan. Who should I talk to? This is blocking our team.,Sales,Sales,3,High
REQ-5197,Enterprise,We have a budget approval for an annual contract. What are the next steps? This is blocking our team.,Sales,Sales,3,High
REQ-5198,Mid-Market,Can I schedule automated reports to be sent to my team every Monday?,Product Question,Product Question,3,Normal
REQ-5199,SMB,This is the third billing error this quarter. I am escalating to my board. This is our third time contacting support about this.,PR Risk,PR Risk,1,CRITICAL
REQ-5200,Mid-Market,Your service caused us to miss a client deadline. We are seeking damages.,PR Risk,PR Risk,1,CRITICAL
REQ-5201,Enterprise,The search function returns incorrect results for any query with special characters. We need this resolved today.,Technical Bug,Technical Bug,3,Medium
REQ-5202,SMB,Fastest support response I have ever received from any SaaS vendor. ASAP please.,Praise,Praise,5,Normal
REQ-5203,Mid-Market,Can I schedule automated reports to be sent to my team every Monday? This is urgent.,Product Question,Product Question,3,Normal
REQ-5204,Mid-Market,Data is not syncing between the mobile app and the web dashboard.,Technical Bug,PR Risk,1,CRITICAL
REQ-5205,Mid-Market,Is there a discount available for non-profit organizations? ASAP please.,Sales,Sales,3,High
REQ-5206,Enterprise,My CEO is cc'd on this email. We need an executive response today. ASAP please.,PR Risk,PR Risk,1,CRITICAL
REQ-5207,SMB,We have documented every outage and are preparing a case against your SLA.,PR Risk,General,3,Normal
REQ-5208,Mid-Market,Three of our team members have stopped using the platform entirely.,Churn Risk,Churn Risk,2,High
REQ-5209,Enterprise,We want to add 50 more seats to our current plan. Who should I talk to? Our entire team is affected.,Sales,Sales,3,High
REQ-5210,Mid-Market,SSO login is broken for our entire organization since the last update. This is urgent.,Technical Bug,Technical Bug,2,High
REQ-5211,Mid-Market,The search function returns incorrect results for any query with special characters. This is urgent.,Technical Bug,Technical Bug,3,Medium
REQ-5212,Mid-Market,Three of our team members have stopped using the platform entirely.,Churn Risk,Churn Risk,2,High
REQ-5213,SMB,Just wanted to say the support team is doing a phenomenal job.,Praise,Praise,5,Normal
REQ-5214,SMB,How do I export my data to a CSV? I cannot find the button. This is our third time contacting support about this.,Product Question,Product Question,3,Normal
REQ-5215,Enterprise,Executive sponsor has left the company and the new one is re-evaluating all tools.,Churn Risk,Churn Risk,2,High
REQ-5216,SMB,What is the maximum file size for document uploads? This is urgent.,Product Question,Product Question,3,Normal
REQ-5217,Mid-Market,Is there a discount available for non-profit organizations?,Sales,Sales,3,High
REQ-5218,Mid-Market,How do I export my data to a CSV? I cannot find the button. ASAP please.,Product Question,Product Question,3,Normal
REQ-5219,Mid-Market,We are evaluating other vendors. Your pricing has become hard to justify.,Churn Risk,Churn Risk,2,High
REQ-5220,Mid-Market,New team member has not received the invitation email after 24 hours.,Access Issue,Access Issue,2,Medium
REQ-5221,SMB,The new dashboard update is exactly what we asked for. Thank you. This is blocking our team.,Praise,Praise,5,Normal
REQ-5222,SMB,The search function returns incorrect results for any query with special characters. This is urgent.,Technical Bug,Technical Bug,3,Medium
REQ-5223,Mid-Market,Is it possible to set up custom roles and permissions for our team? We need this resolved today.,Product Question,Product Question,3,Normal
REQ-5224,Mid-Market,Just wanted to say the support team is doing a phenomenal job.,Praise,Praise,5,Normal
REQ-5225,Mid-Market,Executive sponsor has left the company and the new one is re-evaluating all tools.,Churn Risk,Churn Risk,2,High
REQ-5226,Mid-Market,We expected the roadmap feature by Q2. It is now Q4 and nothing has shipped. ASAP please.,Churn Risk,Churn Risk,2,High
REQ-5227,SMB,We are ready to move from the Free plan to Enterprise. Please send a quote. This is blocking our team.,Sales,Sales,3,High
REQ-5228,Mid-Market,Your onboarding specialist went above and beyond for our team. This is blocking our team.,Praise,Praise,5,Normal
REQ-5229,SMB,I cannot log in after your maintenance window ended. Account appears locked. We need this resolved today.,Access Issue,Access Issue,2,Medium
REQ-5230,Mid-Market,We have a budget approval for an annual contract. What are the next steps?,Sales,Sales,3,High
REQ-5231,Mid-Market,The search function returns incorrect results for any query with special characters.,Technical Bug,Technical Bug,3,Medium
REQ-5232,Mid-Market,What is the maximum file size for document uploads?,Product Question,Product Question,3,Normal
REQ-5233,SMB,I will be filing a formal complaint with the regulator if this is not addressed. This is blocking our team.,PR Risk,PR Risk,1,CRITICAL
REQ-5234,Mid-Market,The search function returns incorrect results for any query with special characters. This is blocking our team.,Technical Bug,Technical Bug,3,Medium
REQ-5235,Mid-Market,Is there a discount available for non-profit organizations?,Sales,Sales,3,High
REQ-5236,Enterprise,We are ready to move from the Free plan to Enterprise. Please send a quote. Our entire team is affected.,Sales,Sales,3,High
REQ-5237,SMB,Two-factor authentication is failing for three members of my team. This is our third time contacting support about this.,Access Issue,Technical Bug,2,High
REQ-5238,SMB,Does the platform support SAML-based SSO with Okta? This is blocking our team.,Product Question,Technical Bug,3,Medium
REQ-5239,Mid-Market,Webhook events stopped firing three hours ago. Our automation is down. This is urgent.,Technical Bug,Technical Bug,2,High
REQ-5240,Mid-Market,We expected the roadmap feature by Q2. It is now Q4 and nothing has shipped. This is urgent.,Churn Risk,Churn Risk,2,High
REQ-5241,SMB,"The export function silently fails -- no error message, no file. We need this resolved today.",Technical Bug,Technical Bug,3,Medium
REQ-5242,Mid-Market,Can I schedule automated reports to be sent to my team every Monday? This is blocking our team.,Product Question,Product Question,3,Normal
REQ-5243,SMB,I cannot log in after your maintenance window ended. Account appears locked.,Access Issue,Access Issue,2,Medium
REQ-5244,SMB,We have documented every outage and are preparing a case against your SLA. We need this resolved today.,PR Risk,General,3,Normal
REQ-5245,SMB,Is there a discount available for non-profit organizations? ASAP please.,Sales,Sales,3,High
REQ-5246,SMB,New team member has not received the invitation email after 24 hours. ASAP please.,Access Issue,Access Issue,2,Medium
