ticket_id,customer_tier,raw_text,actual_category
REQ-5038,Enterprise,I cannot log in after your maintenance window ended. Account appears locked. This is blocking our team.,Access Issue
REQ-5039,Mid-Market,Refunding this now or I am taking this to social media. Charged twice! This is urgent.,PR Risk
REQ-5040,Mid-Market,New team member has not received the invitation email after 24 hours. This is blocking our team.,Access Issue
REQ-5041,SMB,Executive sponsor has left the company and the new one is re-evaluating all tools. This is urgent.,Churn Risk
REQ-5042,SMB,API returning 500 errors on every POST request since this morning.,Technical Bug
REQ-5043,Mid-Market,Looking at competitors because your uptime has been terrible lately.,Churn Risk
REQ-5044,Enterprise,The password reset link expired before I could use it. Please resend. This is urgent.,Access Issue
REQ-5045,Mid-Market,Three of our team members have stopped using the platform entirely.,Churn Risk
REQ-5046,Mid-Market,The app crashed again while I was mid-presentation. Infuriating. This is our third time contacting support about this.,Technical Bug
REQ-5047,Enterprise,New team member has not received the invitation email after 24 hours.,Access Issue
REQ-5048,Mid-Market,Your onboarding specialist went above and beyond for our team. This is our third time contacting support about this.,Praise
REQ-5049,Enterprise,My CEO is cc'd on this email. We need an executive response today. This is our third time contacting support about this.,PR Risk
REQ-5050,SMB,Three of our team members have stopped using the platform entirely. We need this resolved today.,Churn Risk
REQ-5051,SMB,Just wanted to say the support team is doing a phenomenal job. This is urgent.,Praise
REQ-5052,Enterprise,What is the maximum file size for document uploads? This is urgent.,Product Question
REQ-5053,SMB,New team member has not received the invitation email after 24 hours. ASAP please.,Access Issue
REQ-5054,SMB,Can I schedule automated reports to be sent to my team every Monday?,Product Question
REQ-5055,SMB,I cannot log in after your maintenance window ended. Account appears locked.,Access Issue
REQ-5056,Mid-Market,Data is not syncing between the mobile app and the web dashboard.,Technical Bug
REQ-5057,SMB,SSO login is broken for our entire organization since the last update. This is blocking our team.,Technical Bug
REQ-5058,Enterprise,Is there a discount available for non-profit organizations?,Sales
REQ-5059,SMB,Is it possible to set up custom roles and permissions for our team? This is urgent.,Product Question
REQ-5060,SMB,Your service caused us to miss a client deadline. We are seeking damages. This is our third time contacting support about this.,PR Risk
REQ-5061,Mid-Market,Two-factor authentication is failing for three members of my team. We need this resolved today.,Access Issue
REQ-5062,Mid-Market,Refunding this now or I am taking this to social media. Charged twice! This is urgent.,PR Risk
REQ-5063,SMB,This is the third billing error this quarter. I am escalating to my board. We need this resolved today.,PR Risk
REQ-5064,SMB,I am posting a public review about this experience unless resolved today. This is our third time contacting support about this.,PR Risk
REQ-5065,Mid-Market,The search function returns incorrect results for any query with special characters. This is blocking our team.,Technical Bug
REQ-5066,SMB,Data is not syncing between the mobile app and the web dashboard.,Technical Bug
REQ-5067,Mid-Market,Just wanted to say the support team is doing a phenomenal job.,Praise
REQ-5068,SMB,Can I schedule automated reports to be sent to my team every Monday? Our entire team is affected.,Product Question
REQ-5069,SMB,We have documented every outage and are preparing a case against your SLA. Our entire team is affected.,PR Risk
REQ-5070,Enterprise,We have a budget approval for an annual contract. What are the next steps?,Sales
REQ-5071,SMB,This is the third billing error this quarter. I am escalating to my board. This is urgent.,PR Risk
REQ-5072,SMB,Executive sponsor has left the company and the new one is re-evaluating all tools. This is urgent.,Churn Risk
REQ-5073,SMB,SSO login is broken for our entire organization since the last update.,Technical Bug
REQ-5074,SMB,How do I export my data to a CSV? I cannot find the button. ASAP please.,Product Question
REQ-5075,SMB,The search function returns incorrect results for any query with special characters. This is urgent.,Technical Bug
REQ-5076,SMB,Two-factor authentication is failing for three members of my team. This is urgent.,Access Issue
REQ-5077,Enterprise,New team member has not received the invitation email after 24 hours.,Access Issue
REQ-5078,SMB,The search function returns incorrect results for any query with special characters. ASAP please.,Technical Bug
REQ-5079,Enterprise,Can I schedule automated reports to be sent to my team every Monday? We need this resolved today.,Product Question
REQ-5080,SMB,This is the third billing error this quarter. I am escalating to my board. ASAP please.,PR Risk
REQ-5081,Enterprise,We want to add 50 more seats to our current plan. Who should I talk to? This is blocking our team.,Sales
REQ-5082,SMB,Does the platform support SAML-based SSO with Okta? This is blocking our team.,Product Question
REQ-5083,SMB,Two-factor authentication is failing for three members of my team.,Access Issue
REQ-5084,Enterprise,Our contract is up in 60 days and we are not sure we will renew. We need this resolved today.,Churn Risk
REQ-5085,SMB,The new dashboard update is exactly what we asked for. Thank you.,Praise
REQ-5086,SMB,We expected the roadmap feature by Q2. It is now Q4 and nothing has shipped.,Churn Risk
REQ-5087,Enterprise,Can I schedule automated reports to be sent to my team every Monday?,Product Question
REQ-5088,SMB,I cannot log in after your maintenance window ended. Account appears locked. ASAP please.,Access Issue
REQ-5089,Enterprise,The password reset link expired before I could use it. Please resend. This is urgent.,Access Issue
REQ-5090,SMB,Your service caused us to miss a client deadline. We are seeking damages.,PR Risk
REQ-5091,SMB,The search function returns incorrect results for any query with special characters. Our entire team is affected.,Technical Bug
REQ-5092,Mid-Market,Just wanted to say the support team is doing a phenomenal job. We need this resolved today.,Praise
REQ-5093,SMB,I am posting a public review about this experience unless resolved today.,PR Risk
REQ-5094,Mid-Market,The new dashboard update is exactly what we asked for. Thank you.,Praise
REQ-5095,Mid-Market,Looking at competitors because your uptime has been terrible lately. We need this resolved today.,Churn Risk
REQ-5096,SMB,We expected the roadmap feature by Q2. It is now Q4 and nothing has shipped. We need this resolved today.,Churn Risk
REQ-5097,Mid-Market,I think I found a security vulnerability in your login portal. This is blocking our team.,Technical Bug
REQ-5098,Mid-Market,Your service caused us to miss a client deadline. We are seeking damages.,PR Risk
REQ-5099,SMB,Just wanted to say the support team is doing a phenomenal job. This is urgent.,Praise
REQ-5100,SMB,Data is not syncing between the mobile app and the web dashboard.,Technical Bug
REQ-5101,Enterprise,We are ready to move from the Free plan to Enterprise. Please send a quote. This is urgent.,Sales
REQ-5102,SMB,Is there a discount available for non-profit organizations? This is blocking our team.,Sales
REQ-5103,Mid-Market,New team member has not received the invitation email after 24 hours. This is blocking our team.,Access Issue
REQ-5104,Mid-Market,I cannot log in after your maintenance window ended. Account appears locked.,Access Issue
REQ-5105,Enterprise,Two-factor authentication is failing for three members of my team. This is blocking our team.,Access Issue
REQ-5106,SMB,We have documented every outage and are preparing a case against your SLA. ASAP please.,PR Risk
REQ-5107,SMB,We have documented every outage and are preparing a case against your SLA.,PR Risk
REQ-5108,SMB,Our contract is up in 60 days and we are not sure we will renew.,Churn Risk
REQ-5109,Mid-Market,Executive sponsor has left the company and the new one is re-evaluating all tools. We need this resolved today.,Churn Risk
REQ-5110,Mid-Market,Looking at competitors because your uptime has been terrible lately.,Churn Risk
REQ-5111,Mid-Market,This is the third billing error this quarter. I am escalating to my board. This is urgent.,PR Risk
REQ-5112,SMB,We are evaluating other vendors. Your pricing has become hard to justify.,Churn Risk
REQ-5113,SMB,I think I found a security vulnerability in your login portal. This is blocking our team.,Technical Bug
REQ-5114,Mid-Market,Is it possible to set up custom roles and permissions for our team?,Product Question
REQ-5115,SMB,Two-factor authentication is failing for three members of my team.,Access Issue
REQ-5116,SMB,The app crashed again while I was mid-presentation. Infuriating.,Technical Bug
REQ-5117,Mid-Market,Is there a discount available for non-profit organizations?,Sales
REQ-5118,SMB,How do I export my data to a CSV? I cannot find the button. ASAP please.,Product Question
REQ-5119,Enterprise,Is there a discount available for non-profit organizations?,Sales
REQ-5120,Mid-Market,Data is not syncing between the mobile app and the web dashboard. We need this resolved today.,Technical Bug
REQ-5121,Enterprise,We are ready to move from the Free plan to Enterprise. Please send a quote.,Sales
REQ-5122,Mid-Market,We have a budget approval for an annual contract. What are the next steps?,Sales
REQ-5123,Enterprise,The search function returns incorrect results for any query with special characters. ASAP please.,Technical Bug
REQ-5124,SMB,"The export function silently fails -- no error message, no file. Our entire team is affected.",Technical Bug
REQ-5125,Mid-Market,Executive sponsor has left the company and the new one is re-evaluating all tools. Our entire team is affected.,Churn Risk
REQ-5126,SMB,The search function returns incorrect results for any query with special characters. This is blocking our team.,Technical Bug
REQ-5127,Enterprise,We have documented every outage and are preparing a case against your SLA. Our entire team is affected.,PR Risk
REQ-5128,SMB,Can I schedule automated reports to be sent to my team every Monday? We need this resolved today.,Product Question
REQ-5129,SMB,Does the platform support SAML-based SSO with Okta? This is our third time contacting support about this.,Product Question
REQ-5130,SMB,Webhook events stopped firing three hours ago. Our automation is down. We need this resolved today.,Technical Bug
REQ-5131,SMB,SSO login is broken for our entire organization since the last update. Our entire team is affected.,Technical Bug
REQ-5132,SMB,Your service caused us to miss a client deadline. We are seeking damages. This is blocking our team.,PR Risk
REQ-5133,Mid-Market,The password reset link expired before I could use it. Please resend. Our entire team is affected.,Access Issue
REQ-5134,Enterprise,New team member has not received the invitation email after 24 hours. This is our third time contacting support about this.,Access Issue
REQ-5135,SMB,My CEO is cc'd on this email. We need an executive response today. This is blocking our team.,PR Risk
REQ-5136,SMB,Looking at competitors because your uptime has been terrible lately.,Churn Risk
REQ-5137,Mid-Market,How do I export my data to a CSV? I cannot find the button. This is our third time contacting support about this.,Product Question
REQ-5138,Mid-Market,We expected the roadmap feature by Q2. It is now Q4 and nothing has shipped. Our entire team is affected.,Churn Risk
REQ-5139,SMB,The password reset link expired before I could use it. Please resend. This is urgent.,Access Issue
REQ-5140,SMB,Just wanted to say the support team is doing a phenomenal job. We need this resolved today.,Praise
REQ-5141,Mid-Market,How do I export my data to a CSV? I cannot find the button.,Product Question
REQ-5142,SMB,New team member has not received the invitation email after 24 hours. We need this resolved today.,Access Issue
REQ-5143,Mid-Market,Your service caused us to miss a client deadline. We are seeking damages. This is our third time contacting support about this.,PR Risk
REQ-5144,Mid-Market,My CEO is cc'd on this email. We need an executive response today. This is blocking our team.,PR Risk
REQ-5145,SMB,We have a budget approval for an annual contract. What are the next steps? This is our third time contacting support about this.,Sales
REQ-5146,SMB,Our contract is up in 60 days and we are not sure we will renew.,Churn Risk
REQ-5147,Mid-Market,We have a budget approval for an annual contract. What are the next steps? Our entire team is affected.,Sales
REQ-5148,Mid-Market,"The export function silently fails -- no error message, no file.",Technical Bug
REQ-5149,Enterprise,Can you walk us through the Enterprise security and compliance features?,Sales
REQ-5150,SMB,Three of our team members have stopped using the platform entirely. This is blocking our team.,Churn Risk
REQ-5151,Mid-Market,The new dashboard update is exactly what we asked for. Thank you.,Praise
REQ-5152,SMB,Does the platform support SAML-based SSO with Okta?,Product Question
REQ-5153,Mid-Market,Data is not syncing between the mobile app and the web dashboard.,Technical Bug
REQ-5154,SMB,API returning 500 errors on every POST request since this morning. This is urgent.,Technical Bug
REQ-5155,SMB,Fastest support response I have ever received from any SaaS vendor. This is our third time contacting support about this.,Praise
REQ-5156,SMB,The search function returns incorrect results for any query with special characters. This is blocking our team.,Technical Bug
REQ-5157,SMB,SSO login is broken for our entire organization since the last update. ASAP please.,Technical Bug
REQ-5158,Mid-Market,The search function returns incorrect results for any query with special characters.,Technical Bug
REQ-5159,SMB,Your service caused us to miss a client deadline. We are seeking damages.,PR Risk
REQ-5160,Mid-Market,Just wanted to say the support team is doing a phenomenal job. We need this resolved today.,Praise
REQ-5161,SMB,We want to add 50 more seats to our current plan. Who should I talk to?,Sales
REQ-5162,Enterprise,The app crashed again while I was mid-presentation. Infuriating.,Technical Bug
REQ-5163,SMB,We have documented every outage and are preparing a case against your SLA. Our entire team is affected.,PR Risk
REQ-5164,SMB,I cannot log in after your maintenance window ended. Account appears locked.,Access Issue
REQ-5165,Mid-Market,The search function returns incorrect results for any query with special characters. This is urgent.,Technical Bug
REQ-5166,Enterprise,Does the platform support SAML-based SSO with Okta?,Product Question
REQ-5167,Enterprise,Your onboarding specialist went above and beyond for our team. This is our third time contacting support about this.,Praise
REQ-5168,Mid-Market,Is it possible to set up custom roles and permissions for our team?,Product Question
REQ-5169,Enterprise,The password reset link expired before I could use it. Please resend. Our entire team is affected.,Access Issue
REQ-5170,Enterprise,Two-factor authentication is failing for three members of my team.,Access Issue
REQ-5171,SMB,Can I schedule automated reports to be sent to my team every Monday?,Product Question
REQ-5172,Mid-Market,The search function returns incorrect results for any query with special characters. This is blocking our team.,Technical Bug
REQ-5173,Mid-Market,I cannot log in after your maintenance window ended. Account appears locked.,Access Issue
REQ-5174,SMB,We are evaluating other vendors. Your pricing has become hard to justify.,Churn Risk
REQ-5175,SMB,Our contract is up in 60 days and we are not sure we will renew. We need this resolved today.,Churn Risk
REQ-5176,SMB,We expected the roadmap feature by Q2. It is now Q4 and nothing has shipped.,Churn Risk
REQ-5177,SMB,The app crashed again while I was mid-presentation. Infuriating. We need this resolved today.,Technical Bug
REQ-5178,SMB,The app crashed again while I was mid-presentation. Infuriating. We need this resolved today.,Technical Bug
REQ-5179,Mid-Market,We have a budget approval for an annual contract. What are the next steps? This is our third time contacting support about this.,Sales
REQ-5180,SMB,We have a budget approval for an annual contract. What are the next steps?,Sales
REQ-5181,Enterprise,We have a budget approval for an annual contract. What are the next steps? Our entire team is affected.,Sales
REQ-5182,Enterprise,The new dashboard update is exactly what we asked for. Thank you.,Praise
REQ-5183,Mid-Market,Just wanted to say the support team is doing a phenomenal job. Our entire team is affected.,Praise
REQ-5184,Mid-Market,We are ready to move from the Free plan to Enterprise. Please send a quote. This is blocking our team.,Sales
REQ-5185,Mid-Market,We have a budget approval for an annual contract. What are the next steps?,Sales
REQ-5186,Enterprise,New team member has not received the invitation email after 24 hours.,Access Issue
REQ-5187,SMB,What is the maximum file size for document uploads? We need this resolved today.,Product Question
REQ-5188,SMB,What is the maximum file size for document uploads?,Product Question
REQ-5189,Enterprise,Can you walk us through the Enterprise security and compliance features? ASAP please.,Sales
REQ-5190,Mid-Market,I think I found a security vulnerability in your login portal.,Technical Bug
REQ-5191,Mid-Market,Can you walk us through the Enterprise security and compliance features?,Sales
REQ-5192,Mid-Market,Our legal team is reviewing our contract due to this ongoing service outage. This is urgent.,PR Risk
REQ-5193,SMB,I think I found a security vulnerability in your login portal.,Technical Bug
REQ-5194,SMB,Looking at competitors because your uptime has been terrible lately. Our entire team is affected.,Churn Risk
REQ-5195,SMB,Does the platform support SAML-based SSO with Okta? This is our third time contacting support about this.,Product Question
REQ-5196,Mid-Market,We want to add 50 more seats to our current plan. Who should I talk to? This is blocking our team.,Sales
REQ-5197,Enterprise,We have a budget approval for an annual contract. What are the next steps? This is blocking our team.,Sales
REQ-5198,Mid-Market,Can I schedule automated reports to be sent to my team every Monday?,Product Question
REQ-5199,SMB,This is the third billing error this quarter. I am escalating to my board. This is our third time contacting support about this.,PR Risk
REQ-5200,Mid-Market,Your service caused us to miss a client deadline. We are seeking damages.,PR Risk
REQ-5201,Enterprise,The search function returns incorrect results for any query with special characters. We need this resolved today.,Technical Bug
REQ-5202,SMB,Fastest support response I have ever received from any SaaS vendor. ASAP please.,Praise
REQ-5203,Mid-Market,Can I schedule automated reports to be sent to my team every Monday? This is urgent.,Product Question
REQ-5204,Mid-Market,Data is not syncing between the mobile app and the web dashboard.,Technical Bug
REQ-5205,Mid-Market,Is there a discount available for non-profit organizations? ASAP please.,Sales
REQ-5206,Enterprise,My CEO is cc'd on this email. We need an executive response today. ASAP please.,PR Risk
REQ-5207,SMB,We have documented every outage and are preparing a case against your SLA.,PR Risk
REQ-5208,Mid-Market,Three of our team members have stopped using the platform entirely.,Churn Risk
REQ-5209,Enterprise,We want to add 50 more seats to our current plan. Who should I talk to? Our entire team is affected.,Sales
REQ-5210,Mid-Market,SSO login is broken for our entire organization since the last update. This is urgent.,Technical Bug
REQ-5211,Mid-Market,The search function returns incorrect results for any query with special characters. This is urgent.,Technical Bug
REQ-5212,Mid-Market,Three of our team members have stopped using the platform entirely.,Churn Risk
REQ-5213,SMB,Just wanted to say the support team is doing a phenomenal job.,Praise
REQ-5214,SMB,How do I export my data to a CSV? I cannot find the button. This is our third time contacting support about this.,Product Question
REQ-5215,Enterprise,Executive sponsor has left the company and the new one is re-evaluating all tools.,Churn Risk
REQ-5216,SMB,What is the maximum file size for document uploads? This is urgent.,Product Question
REQ-5217,Mid-Market,Is there a discount available for non-profit organizations?,Sales
REQ-5218,Mid-Market,How do I export my data to a CSV? I cannot find the button. ASAP please.,Product Question
REQ-5219,Mid-Market,We are evaluating other vendors. Your pricing has become hard to justify.,Churn Risk
REQ-5220,Mid-Market,New team member has not received the invitation email after 24 hours.,Access Issue
REQ-5221,SMB,The new dashboard update is exactly what we asked for. Thank you. This is blocking our team.,Praise
REQ-5222,SMB,The search function returns incorrect results for any query with special characters. This is urgent.,Technical Bug
REQ-5223,Mid-Market,Is it possible to set up custom roles and permissions for our team? We need this resolved today.,Product Question
REQ-5224,Mid-Market,Just wanted to say the support team is doing a phenomenal job.,Praise
REQ-5225,Mid-Market,Executive sponsor has left the company and the new one is re-evaluating all tools.,Churn Risk
REQ-5226,Mid-Market,We expected the roadmap feature by Q2. It is now Q4 and nothing has shipped. ASAP please.,Churn Risk
REQ-5227,SMB,We are ready to move from the Free plan to Enterprise. Please send a quote. This is blocking our team.,Sales
REQ-5228,Mid-Market,Your onboarding specialist went above and beyond for our team. This is blocking our team.,Praise
REQ-5229,SMB,I cannot log in after your maintenance window ended. Account appears locked. We need this resolved today.,Access Issue
REQ-5230,Mid-Market,We have a budget approval for an annual contract. What are the next steps?,Sales
REQ-5231,Mid-Market,The search function returns incorrect results for any query with special characters.,Technical Bug
REQ-5232,Mid-Market,What is the maximum file size for document uploads?,Product Question
REQ-5233,SMB,I will be filing a formal complaint with the regulator if this is not addressed. This is blocking our team.,PR Risk
REQ-5234,Mid-Market,The search function returns incorrect results for any query with special characters. This is blocking our team.,Technical Bug
REQ-5235,Mid-Market,Is there a discount available for non-profit organizations?,Sales
REQ-5236,Enterprise,We are ready to move from the Free plan to Enterprise. Please send a quote. Our entire team is affected.,Sales
REQ-5237,SMB,Two-factor authentication is failing for three members of my team. This is our third time contacting support about this.,Access Issue
REQ-5238,SMB,Does the platform support SAML-based SSO with Okta? This is blocking our team.,Product Question
REQ-5239,Mid-Market,Webhook events stopped firing three hours ago. Our automation is down. This is urgent.,Technical Bug
REQ-5240,Mid-Market,We expected the roadmap feature by Q2. It is now Q4 and nothing has shipped. This is urgent.,Churn Risk
REQ-5241,SMB,"The export function silently fails -- no error message, no file. We need this resolved today.",Technical Bug
REQ-5242,Mid-Market,Can I schedule automated reports to be sent to my team every Monday? This is blocking our team.,Product Question
REQ-5243,SMB,I cannot log in after your maintenance window ended. Account appears locked.,Access Issue
REQ-5244,SMB,We have documented every outage and are preparing a case against your SLA. We need this resolved today.,PR Risk
REQ-5245,SMB,Is there a discount available for non-profit organizations? ASAP please.,Sales
REQ-5246,SMB,New team member has not received the invitation email after 24 hours. ASAP please.,Access Issue
REQ-5247,SMB,This is the third billing error this quarter. I am escalating to my board.,PR Risk
REQ-5248,SMB,I think I found a security vulnerability in your login portal.,Technical Bug
REQ-5249,SMB,Refunding this now or I am taking this to social media. Charged twice!,PR Risk
REQ-5250,SMB,Can I schedule automated reports to be sent to my team every Monday?,Product Question
REQ-5251,Enterprise,This is the third billing error this quarter. I am escalating to my board. This is blocking our team.,PR Risk
REQ-5252,Mid-Market,Can I schedule automated reports to be sent to my team every Monday? This is urgent.,Product Question
REQ-5253,SMB,Can you walk us through the Enterprise security and compliance features?,Sales
REQ-5254,SMB,This is the third billing error this quarter. I am escalating to my board. ASAP please.,PR Risk
REQ-5255,SMB,Just wanted to say the support team is doing a phenomenal job. This is blocking our team.,Praise
REQ-5256,Mid-Market,The search function returns incorrect results for any query with special characters. This is urgent.,Technical Bug
REQ-5257,Mid-Market,We have a budget approval for an annual contract. What are the next steps?,Sales
REQ-5258,Mid-Market,Fastest support response I have ever received from any SaaS vendor. We need this resolved today.,Praise
REQ-5259,Enterprise,We want to add 50 more seats to our current plan. Who should I talk to?,Sales
REQ-5260,Enterprise,Three of our team members have stopped using the platform entirely.,Churn Risk
REQ-5261,Mid-Market,Three of our team members have stopped using the platform entirely.,Churn Risk
REQ-5262,Enterprise,Fastest support response I have ever received from any SaaS vendor. This is urgent.,Praise
REQ-5263,SMB,Data is not syncing between the mobile app and the web dashboard. We need this resolved today.,Technical Bug
REQ-5264,SMB,I will be filing a formal complaint with the regulator if this is not addressed. ASAP please.,PR Risk
REQ-5265,SMB,Two-factor authentication is failing for three members of my team. This is urgent.,Access Issue
REQ-5266,Mid-Market,We have a budget approval for an annual contract. What are the next steps?,Sales
REQ-5267,SMB,Can I schedule automated reports to be sent to my team every Monday? This is blocking our team.,Product Question
REQ-5268,Mid-Market,Our contract is up in 60 days and we are not sure we will renew. This is blocking our team.,Churn Risk
REQ-5269,Mid-Market,Does the platform support SAML-based SSO with Okta? This is urgent.,Product Question
REQ-5270,Mid-Market,Looking at competitors because your uptime has been terrible lately.,Churn Risk
REQ-5271,SMB,SSO login is broken for our entire organization since the last update. Our entire team is affected.,Technical Bug
REQ-5272,Enterprise,Webhook events stopped firing three hours ago. Our automation is down. ASAP please.,Technical Bug
REQ-5273,SMB,The app crashed again while I was mid-presentation. Infuriating. This is urgent.,Technical Bug
REQ-5274,Mid-Market,Three of our team members have stopped using the platform entirely.,Churn Risk
REQ-5275,SMB,Just wanted to say the support team is doing a phenomenal job. This is blocking our team.,Praise
REQ-5276,Mid-Market,Does the platform support SAML-based SSO with Okta? This is blocking our team.,Product Question
REQ-5277,Mid-Market,We are evaluating other vendors. Your pricing has become hard to justify.,Churn Risk
REQ-5278,Mid-Market,Is it possible to set up custom roles and permissions for our team? This is urgent.,Product Question
REQ-5279,Mid-Market,How do I export my data to a CSV? I cannot find the button. This is our third time contacting support about this.,Product Question
REQ-5280,SMB,Our legal team is reviewing our contract due to this ongoing service outage. This is urgent.,PR Risk
REQ-5281,Enterprise,Just wanted to say the support team is doing a phenomenal job.,Praise
REQ-5282,SMB,We are evaluating other vendors. Your pricing has become hard to justify.,Churn Risk
REQ-5283,Mid-Market,"The export function silently fails -- no error message, no file.",Technical Bug
REQ-5284,SMB,Is it possible to set up custom roles and permissions for our team? This is blocking our team.,Product Question
REQ-5285,Mid-Market,The new dashboard update is exactly what we asked for. Thank you. Our entire team is affected.,Praise
REQ-5286,Mid-Market,What is the maximum file size for document uploads? This is urgent.,Product Question
REQ-5287,SMB,We have a budget approval for an annual contract. What are the next steps? This is our third time contacting support about this.,Sales
REQ-5288,SMB,We have documented every outage and are preparing a case against your SLA. ASAP please.,PR Risk
REQ-5289,Mid-Market,What is the maximum file size for document uploads? This is blocking our team.,Product Question
REQ-5290,SMB,Can you walk us through the Enterprise security and compliance features?,Sales
REQ-5291,SMB,I will be filing a formal complaint with the regulator if this is not addressed. This is our third time contacting support about this.,PR Risk
REQ-5292,Enterprise,My CEO is cc'd on this email. We need an executive response today. Our entire team is affected.,PR Risk
REQ-5293,Mid-Market,Refunding this now or I am taking this to social media. Charged twice!,PR Risk
REQ-5294,Mid-Market,This is the third billing error this quarter. I am escalating to my board. We need this resolved today.,PR Risk
REQ-5295,Mid-Market,Fastest support response I have ever received from any SaaS vendor.,Praise
REQ-5296,SMB,This is the third billing error this quarter. I am escalating to my board. We need this resolved today.,PR Risk
REQ-5297,SMB,I think I found a security vulnerability in your login portal. This is blocking our team.,Technical Bug
REQ-5298,SMB,What is the maximum file size for document uploads? This is urgent.,Product Question
REQ-5299,Mid-Market,Your onboarding specialist went above and beyond for our team. We need this resolved today.,Praise
REQ-5300,SMB,Three of our team members have stopped using the platform entirely.,Churn Risk
REQ-5301,SMB,We have a budget approval for an annual contract. What are the next steps? This is urgent.,Sales
REQ-5302,Enterprise,My CEO is cc'd on this email. We need an executive response today.,PR Risk
REQ-5303,Enterprise,The app crashed again while I was mid-presentation. Infuriating.,Technical Bug
REQ-5304,Mid-Market,Our contract is up in 60 days and we are not sure we will renew.,Churn Risk
REQ-5305,Enterprise,We have a budget approval for an annual contract. What are the next steps?,Sales
REQ-5306,Mid-Market,The search function returns incorrect results for any query with special characters.,Technical Bug
REQ-5307,Enterprise,We want to add 50 more seats to our current plan. Who should I talk to? We need this resolved today.,Sales
REQ-5308,Enterprise,The password reset link expired before I could use it. Please resend. ASAP please.,Access Issue
REQ-5309,SMB,We are evaluating other vendors. Your pricing has become hard to justify. Our entire team is affected.,Churn Risk
REQ-5310,Mid-Market,The password reset link expired before I could use it. Please resend. This is blocking our team.,Access Issue
